filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
.\tests\agent_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,16,4,78,[16],https://bandit.readthedocs.io/en/1.9.4/plugins/b101_assert_used.html
.\tests\agent_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,25,4,95,[25],https://bandit.readthedocs.io/en/1.9.4/plugins/b101_assert_used.html
.\tests\agent_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,36,4,31,[36],https://bandit.readthedocs.io/en/1.9.4/plugins/b101_assert_used.html
.\tests\agent_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,37,4,26,[37],https://bandit.readthedocs.io/en/1.9.4/plugins/b101_assert_used.html
